isco08,isco_name,feor_08,feor_08_name
3521,Műsorszórási és audiovizuális technikusok,3145,Műsorszóró és audiovizuális technikus
3522,Távközlési technikusok,3146,Telekommunikációs technikus
4110,Általános irodai foglalkozásúak,4112,Általános irodai adminisztrátor
4120,Titkárok (általános),4111,Titkár(nő)
4131,Gépírók és szövegszerkesztők,4113,"Gépíró, szövegszerkesztő"
4132,Adatrögzítők,4114,"Adatrögzítő, kódoló"
4211,Bankpénztárosok és hasonló foglalkozásúak,4211,Banki pénztáros
4211,Bankpénztárosok és hasonló foglalkozásúak,4227,Postai ügyfélkapcsolati foglalkozású
4212,"Bukmékerek, krupiék és hasonló foglalkozásúak",4212,Szerencsejáték-szervező
4213,Zálogosok és pénzkölcsönzők,4213,Zálogházi ügyintéző és pénzkölcsönző
4214,Adósságbehajtók és hasonló foglalkozásúak,3656,"Végrehajtó, adósságbehajtó"
4221,Utazási irodai ügyintézők,4221,"Utazásszervező, tanácsadó"
4222,Telefonos ügyfélszolgálati ügyintézők,4225,Ügyfélszolgálati központ tájékoztatója
4223,Telefonközpont-kezelők,4225,Ügyfélszolgálati központ tájékoztatója
4224,Szállodai fogadóportások,4223,Szállodai recepciós
4225,Ügyfélszolgálati ügyintézők,4224,Ügyfél- (vevő)tájékoztató
4226,Recepciósok (általános),4222,Recepciós
4227,Összeírók és piackutatási kérdezők,4226,"Lakossági kérdező, összeíró"
4229,"Máshová nem sorolható, ügyfél-tájékoztatási foglalkozásúak",4229,Egyéb ügyfélkapcsolati foglalkozású
4311,Számviteli és könyvelési nyilvántartók,4121,Könyvelő (analitikus)
4312,"Statisztikai, pénzügyi és biztosítási nyilvántartók",4123,"Pénzügyi, statisztikai, biztosítási adminisztrátor"
4313,Bérszámfejtők,4122,Bérelszámoló
4321,Készletnyilvántartók,4131,Készlet- és anyagnyilvántartó
4322,Termelési nyilvántartók,3161,Munka- és termelésszervező
4323,Szállítmányozási nyilvántartók,3161,Munka- és termelésszervező
4323,Szállítmányozási nyilvántartók,4132,"Szállítási, szállítmányozási nyilvántartó"
4411,Könyvtári nyilvántartók,4133,"Könyvtári, levéltári nyilvántartó"
4412,Postai kézbesítők és válogatók,3161,Munka- és termelésszervező
4412,Postai kézbesítők és válogatók,4135,"Postai szolgáltató (kézbesítő, válogató)"
4413,"Kódolók, korrektúrázók és hasonló irodai foglalkozásúak",4114,"Adatrögzítő, kódoló"
4414,Írnokok és hasonló foglalkozásúak,,
4415,"Iktatók, fénymásolók",4136,"Iratkezelő, irattáros"
4416,Személyzeti nyilvántartási foglalkozásúak,4134,Humánpolitikai adminisztrátor
4419,Máshová nem sorolható egyéb irodai kisegítő foglalkozásúak,4129,Egyéb számviteli foglalkozású
4419,Máshová nem sorolható egyéb irodai kisegítő foglalkozásúak,4190,"Egyéb, máshova nem sorolható irodai, ügyviteli foglalkozású"
5111,Utaskísérők és stewardok,5232,"Utaskísérő (repülőn, hajón)"
5112,Kalauzok,5231,"Kalauz, menetjegyellenőr"
5113,Idegenvezetők,5233,Idegenvezető
5120,Szakácsok,5131,Vendéglős
5120,Szakácsok,5134,Szakács
5131,Felszolgálók,5132,Pincér
5132,Pultosok,5133,Pultos
5141,Fodrászok,5211,Fodrász
5142,Kozmetikusok és hasonló foglalkozásúak,5212,Kozmetikus
5142,Kozmetikusok és hasonló foglalkozásúak,5213,"Manikűrös, pedikűrös"
5151,Takarítási és házvezetői munka irányítói szállodákban és egyéb intézményekben,5241,Vezető takarító
5152,Házvezetők,5242,Házvezető
5153,Épületgondnokok,5243,Épületgondnok
5161,"Asztrológusok, jövendőmondók és hasonló foglalkozások",5219,Egyéb személyi szolgáltatási foglalkozású
5162,Társalkodók és komornyikok,5229,Egyéb személygondozási foglalkozású
5163,Temetkezési vállalkozók és balzsamozók,5293,Temetkezési foglalkozású
5164,Hobbiállat-gondozók és -kozmetikusok,5292,"Hobbiállat-gondozó, -kozmetikus"
5165,Gépjárművezető-oktatók,5291,Járművezető-oktató
5169,Máshová nem sorolható személyi szolgáltatási foglalkozásúak,5219,Egyéb személyi szolgáltatási foglalkozású
5169,Máshová nem sorolható személyi szolgáltatási foglalkozásúak,5299,"Egyéb, máshova nem sorolható szolgáltatási foglalkozású"
5211,Utcai és piaci árusok (kivéve élelmiszerárusok),5115,"Piaci, utcai árus"
5212,Utcai élelmiszerárusok,5116,"Piaci, utcai étel- és italárus"
5221,Kereskedők,5111,Kereskedő
5222,Vezető eladók,5112,Vezető eladó
5223,Beosztott eladók,5113,Bolti eladó
5223,Beosztott eladók,5114,Kölcsönző
5230,Pénztárosok és jegyárusítók,5117,"Bolti pénztáros, jegypénztáros"
5241,Manökenek és egyéb modellek,5122,Áru- és divatbemutató
5242,Termékbemutató ügynökök,5122,Áru- és divatbemutató
5243,Házaló ügynökök,5129,"Egyéb, máshova nem sorolható kereskedelmi foglalkozású"
5244,Telefonos/multimédiás értékesítő ügynökök,5123,Telefonos (multimédiás) értékesítési ügynök
5245,Benzinkutasok,5121,Üzemanyagtöltő állomás kezelője
5246,Büfések,5131,Vendéglős
5249,Máshová nem sorolható értékesítési foglalkozásúak,5129,"Egyéb, máshova nem sorolható kereskedelmi foglalkozású"
5311,Gyermekgondozók,3512,"Hivatásos nevelőszülő, főállású anya"
5311,Gyermekgondozók,5221,"Gyermekfelügyelő, dajka"
5312,Iskolai kisegítők,3410,Oktatási asszisztens
5321,Kisegítő gondozó személyzet,5222,"Segédápoló, műtőssegéd"
5322,Otthoni személygondozási foglalkozásúak,5223,Házi gondozó
5329,Máshová nem sorolható személygondozási foglalkozásúak (egészségügyben),5229,Egyéb személygondozási foglalkozású
5411,Tűzoltók,5252,Tűzoltó
5412,Rendőrök,5251,Rendőr
5413,Börtönőrök,5253,Büntetés-végrehajtási őr
5414,Biztonsági őrök,5254,"Vagyonőr, testőr"
5414,Biztonsági őrök,9231,"Portás, telepőr, egyszerű őr"
5419,Máshová nem sorolható védelmi foglalkozások,5255,Természetvédelmi őr
5419,Máshová nem sorolható védelmi foglalkozások,5256,Közterület-felügyelő
5419,Máshová nem sorolható védelmi foglalkozások,5259,Egyéb személy- és vagyonvédelmi foglalkozású
6111,Szántóföldi növény- és zöldségtermesztők,6111,Szántóföldinövény-termesztő
6111,Szántóföldi növény- és zöldségtermesztők,6112,Bionövény-termesztő
6111,Szántóföldi növény- és zöldségtermesztők,6113,Zöldségtermesztő
6111,Szántóföldi növény- és zöldségtermesztők,6114,"Szőlő-, gyümölcstermesztő"
6111,Szántóföldi növény- és zöldségtermesztők,6116,Gyógynövénytermesztő
6112,Csemete- és cserjegondozók,6114,"Szőlő-, gyümölcstermesztő"
6113,"Kertészek, kertészeti és faiskolai kertészek",6113,Zöldségtermesztő
6113,"Kertészek, kertészeti és faiskolai kertészek",6115,"Dísznövény-, virág- és faiskolai kertész, csemetenevelő"
6114,Vegyes növénytermesztők,6119,Egyéb növénytermesztési foglalkozású
6121,Haszonállat-tenyésztők (kivéve a baromfitenyésztőket) és tejtermelők,6121,"Szarvasmarha-, ló-, sertés-, juhtartó és -tenyésztő"
6122,Baromfitenyésztők,6122,Baromfitartó és -tenyésztő
6123,Méhészek és selyemhernyó-tenyésztők,6123,Méhész
6123,Méhészek és selyemhernyó-tenyésztők,6124,Kisállattartó és -tenyésztő
6129,Máshová nem sorolható állattenyésztők,6124,Kisállattartó és -tenyésztő
6130,Vegyes gazdálkodók,6130,Vegyes profilú gazdálkodó
6210,Erdészeti és hasonló foglalkozásúak,6211,Erdészeti foglalkozású
6210,Erdészeti és hasonló foglalkozásúak,6212,Fakitermelő (favágó)
6221,Halgazdálkodók,6230,Halászati foglalkozású
6222,Belvízi és part menti halászok,6230,Halászati foglalkozású
6223,Mélytengeri halászok,6230,Halászati foglalkozású
6224,Vadászok és vadbefogók,6220,Vadgazdálkodási foglalkozású
6310,Saját szükségletre termelő növénytermesztők,,
6320,Saját szükségletre termelő állattenyésztők,,
6330,"Saját szükségletre termelő, vegyes gazdálkodók",,
6340,"Saját szükségletre termelő halászok, vadászok és gyűjtögetők",,
7111,Házépítők,,
7112,Falazókőművesek és hasonló foglalkozásúak,7511,Kőműves
7112,Falazókőművesek és hasonló foglalkozásúak,7537,Kályha- és kandallóépítő
7113,"Kőfaragók, -vágók és -törők",7536,"Kőfaragó, műköves"
7114,"Betonozók, vasbetonszerelők és hasonló foglalkozásúak",7515,Építményszerkezet-szerelő
7115,Ácsok és asztalosok,7513,Ács
7115,Ácsok és asztalosok,7514,Épületasztalos
7119,Máshová nem sorolható épületszerkezet-szerelők és hasonló foglalkozásúak,7515,Építményszerkezet-szerelő
7119,Máshová nem sorolható épületszerkezet-szerelők és hasonló foglalkozásúak,7519,Egyéb építőmesteri foglalkozású
7119,Máshová nem sorolható épületszerkezet-szerelők és hasonló foglalkozásúak,7529,"Egyéb építési, szerelési foglalkozású"
7119,Máshová nem sorolható épületszerkezet-szerelők és hasonló foglalkozásúak,7539,Egyéb építési szakipari foglalkozású
7119,Máshová nem sorolható épületszerkezet-szerelők és hasonló foglalkozásúak,7912,Ipari alpinista
7121,Tetőfedők,7532,Tetőfedő
7122,Burkolók,7534,Burkoló
7123,Stukkó készítők (épületszobrászok),7512,"Gipszkartonozó, stukkózó"
7124,Szigetelők,7531,Szigetelő
7125,Üvegesek,7538,Üvegező
7126,"Víz-, gáz- és csővezeték-szerelők",7521,"Vezeték- és csőhálózat-szerelő (víz, gáz, fűtés)"
7127,Légkondicionáló- és hűtőberendezés-szerelők,7522,"Szellőző-, hűtő- és klimatizálóberendezés-szerelő"
7131,Festők és hasonló foglalkozásúak,7535,Festő és mázoló
7132,"Felületkezelők, fényezők",7327,"Festékszóró, fényező"
7133,Épületszerkezet-tisztítók,7915,"Kéményseprő, épületszerkezet-tisztító"
7211,Fém öntőminta- és magkészítők,7310,Fémöntőminta-készítő
7212,Hegesztők és lángvágók,7325,"Hegesztő, lángvágó"
7213,Fémlemez-megmunkálók,7533,"Épület-, építménybádogos"
7214,Fémszerkezet-készítők és -összeállítók,7321,Lakatos
7215,"Állványozók, rakományrögzítők és tartószerkezetek szerelői",7328,Fém- és egyéb tartószerkezet-szerelő
7221,Kovácsok,7326,Kovács
7222,Szerszámkészítők és hasonló foglalkozásúak,7321,Lakatos
7222,Szerszámkészítők és hasonló foglalkozásúak,7322,Szerszámkészítő
7223,Fémmegmunkálógép-beállítók és -üzemeltetők,7323,Forgácsoló
7224,"Fémcsiszolók, köszörűsök és szerszámköszörűsök",7324,"Fémcsiszoló, köszörűs, szerszámköszörűs"
7231,Gépjárműszerelők és -karbantartók,7331,"Gépjármű- és motorkarbantartó, -javító"
7232,Légijármű szerelők és -karbantartók,7332,"Repülőgépmotor-karbantartó, -javító"
7233,Mezőgazdasági és iparigép szerelők és -karbantartók,7333,"Mezőgazdasági és ipari gép (motor) karbantartója, javítója"
7233,Mezőgazdasági és iparigép szerelők és -karbantartók,7334,"Mechanikaigép-karbantartó, -javító (műszerész)"
7234,Kerékpárszerelők és hasonló foglalkozásúak,7335,"Kerékpár-karbantartó, -javító"
7311,Precíziósműszer-gyártók és -javítók,7420,Finommechanikai műszerész
7312,Hangszergyártók és hangolók,7415,Hangszerkészítő
7313,Ékszerészek és nemesfém-megmunkálók,7412,"Ékszerkészítő, ötvös, drágakőcsiszoló"
7314,Fazekasok és hasonló kézművesek,7413,Keramikus
7315,"Üvegfújók, -vágók, -csiszolók és -felületkezelők",7414,Üveggyártó
7316,"Címfestők, díszítőfestők, üveg-, réz-, fametszők és -vésők",7411,Címfestő
7317,"Famegmunkálók, kosárfonók és hasonló foglalkozásúak",7417,"Nád- és fűzfeldolgozó, seprű-, kefegyártó"
7318,"Textil-, bőrművesek és hasonló foglalkozásúak",7216,"Bőrdíszműves, bőröndös, bőrtermékkészítő, -javító"
7318,"Textil-, bőrművesek és hasonló foglalkozásúak",7416,Szőr- és tollfeldolgozó
7319,Máshová nem sorolható kézműipari foglalkozásúak,7419,Egyéb kézműipari foglalkozású
7321,Nyomtatás-előkészítéssel foglalkozó technikusok,7231,Nyomdai előkészítő
7322,Nyomdászok,7232,"Nyomdász, nyomdai gépmester"
7323,Nyomdaipari befejező és könyvkötő foglalkozásúak,7233,Könyvkötő
7411,Építőipari villanyszerelők és hasonló foglalkozásúak,7524,"Épületvillamossági szerelő, villanyszerelő"
7412,Elektroműszerészek és szerelők,7341,"Villamos gépek és készülékek műszerésze, javítója"
7412,Elektroműszerészek és szerelők,7523,Felvonószerelő
7413,Elektromosvezeték szerelők és javítók,7343,"Elektromoshálózat-szerelő, -javító"
7421,Elektronikai műszerészek és karbantartók,7341,"Villamos gépek és készülékek műszerésze, javítója"
7422,Információs és kommunikációs technológiai berendezések szerelői,7342,"Informatikai és telekommunikációs berendezések műszerésze, javítója"
7511,"Hús, hal és hasonló élelmiszerek feldolgozói",7111,Húsfeldolgozó
7512,"Pékek, cukrászok, édességgyártók",5135,Cukrász
7512,"Pékek, cukrászok, édességgyártók",7114,"Pék, édesiparitermék-gyártó"
7513,Tejfeldolgozók,7113,"Tejfeldolgozó, tejtermékgyártó"
7514,"Gyümölcs, zöldség és hasonló terméktartósítók",7112,"Gyümölcs- és zöldségfeldolgozó, -tartósító"
7515,Élelmiszer- és italkóstolók és -osztályozók,3135,Minőségbiztosítási technikus
7515,"Élelmiszer- és italkóstolók és -osztályozók,",7919,"Egyéb, máshova nem sorolható ipari és építőipari foglalkozású"
7516,Dohány- és dohánytermék gyártók,8112,Dohánygyártó gép kezelője
7521,Famegmunkálók,7221,Famegmunkáló
7522,Műbútorasztalosok és hasonló foglalkozásúak,7223,Bútorasztalos
7522,Műbútorasztalosok és hasonló foglalkozásúak,7225,"Kádár, bognár"
7523,Famegmunkáló gépek beállítói és üzemeltetői,7222,Faesztergályos
7531,"Szabók, szűcsök és kalaposok",7212,"Szabó, varró"
7531,"Szabók, szűcsök és kalaposok",7213,"Kalapos, kesztyűs"
7532,Textilszabászok,7211,Szabásminta-készítő
7533,"Varrók, hímzők és hasonló foglalkozásúak",7418,"Textilműves, hímző, csipkeverő"
7534,Kárpitosok és hasonló foglalkozásúak,7224,Kárpitos
7535,Szőrme- és bőr-megmunkálók,7214,"Szűcs, szőrmefestő"
7535,Szőrme- és bőr-megmunkálók,7215,Tímár
7536,Cipészek és hasonló foglalkozásúak,7217,"Cipész, cipőkészítő, -javító"
7541,Búvárok,7911,Ipari búvár
7542,Lő- és robbantómesterek,7913,Robbantómester
7543,Termékosztályozók és -vizsgálók (kivéve az élelmiszereket),3135,Minőségbiztosítási technikus
7543,Termékosztályozók és -vizsgálók (kivéve az élelmiszereket),7919,"Egyéb, máshova nem sorolható ipari és építőipari foglalkozású"
7544,Kártevőirtók,7914,"Kártevőirtó, gyomirtó"
7549,Máshová nem sorolható kézműipari és hasonló foglalkozásúak,7919,"Egyéb, máshova nem sorolható ipari és építőipari foglalkozású"
8111,Bányászok és kőfejtők,8311,"Szilárdásvány-kitermelő gép kezelője (szén, kő)"
8112,Szilárdásványfeldolgozó-gépek kezelői,8311,"Szilárdásvány-kitermelő gép kezelője (szén, kő)"
8113,Kútfúrók és hasonló foglalkozásúak,8312,"Kútfúró, mélyfúró gép kezelője (kőolaj, földgáz, víz)"
8114,Cement- és más ásványitermék-gyártó gépek kezelői,8143,"Cement-, kő- és egyéb ásványianyag-feldolgozó gép kezelője"
8121,Fémfeldolgozó berendezések kezelői,8151,Fémfeldolgozó gép kezelője
8122,"Fémmegmunkáló, fémbevonó és felületkezelő gépek kezelői",8152,"Fémmegmunkáló, felületkezelő gép kezelője"
8131,Vegyipari termékeket gyártó berendezések és gépek kezelői,8131,Kőolaj- és földgázfeldolgozó gép kezelője
8131,Vegyipari termékeket gyártó berendezések és gépek kezelői,8132,Vegyi alapanyagot és terméket gyártó gép kezelője
8131,Vegyipari termékeket gyártó berendezések és gépek kezelői,8133,Gyógyszergyártó gép kezelője
8131,Vegyipari termékeket gyártó berendezések és gépek kezelői,8134,Műtrágya- és növényvédőszer-gyártó gép kezelője
8132,Fényképészeti termékeket gyártó gépek kezelői,8137,Fotó- és mozgófilmlaboráns
8141,Gumiterméket gyártó gépek kezelői,8136,Gumitermékgyártó gép kezelője
8142,Műanyagterméket gyártó gépek kezelői,8135,Műanyagtermék-gyártó gép kezelője
8143,Papírterméket gyártó gépek kezelői,8126,Papír- és cellulóztermék-gyártó gép kezelője és gyártósor mellett dolgozó
8151,"Fonalelőkészítő, -fonó és -sodró gépek kezelői",8121,Textilipari gép kezelője és gyártósor mellett dolgozó
8152,Szövő- és kötőgépkezelők,8121,Textilipari gép kezelője és gyártósor mellett dolgozó
8153,Varrógépkezelők,8122,Ruházati gép kezelője és gyártósor mellett dolgozó
8154,"Fehérítő-, ruhafestő- és tisztítógép-kezelők",8121,Textilipari gép kezelője és gyártósor mellett dolgozó
8155,Szőrme- és bőr-kikészítőgépek kezelői,8123,Bőrkikészítő és -feldolgozó gép kezelője és gyártósor mellett dolgozó
8156,Cipőgyártó és hasonló gépek kezelői,8124,Cipőgyártó gép kezelője és gyártósor mellett dolgozó
8157,Mosodai gépek kezelői,8327,Mosodai gép kezelője
8159,"Máshova nem sorolható textil-, szőrme- és bőrtermékeket gyártó gépek kezelője",,
8160,Élelmiszert és hasonló terméket gyártó gépek kezelői,7115,"Borász és egyéb szeszesital-gyártó, szikvízkészítő"
8160,Élelmiszert és hasonló terméket gyártó gépek kezelői,8111,"Élelmiszer-, italgyártó gép kezelője"
8171,Papírmassza- és papírgyártó berendezések kezelői,8144,Papíripari alapanyagot gyártó gép kezelője
8172,Fafeldolgozó berendezések kezelői,8125,Fafeldolgozó gép kezelője és gyártósor mellett dolgozó
8181,Üveg- és kerámiagyártó berendezések kezelői,8141,Kerámiaipari terméket gyártó gép kezelője
8181,Üveg- és kerámiagyártó berendezések kezelői,8142,Üveget és üvegterméket gyártó gép kezelője
8182,Gőzgép- és kazánkezelők,8323,Kazángépkezelő
8183,"Csomagoló, palackozó és címkéző gépek kezelői",8325,"Csomagoló-, palackozó- és címkézőgép kezelője"
8189,Máshová nem sorolható helyhez kötött berendezések és gépek kezelői,8190,"Egyéb, máshova nem sorolható feldolgozóipari gép kezelője"
8189,Máshová nem sorolható helyhez kötött berendezések és gépek kezelői,8321,Energetikai gép kezelője
8189,Máshová nem sorolható helyhez kötött berendezések és gépek kezelői,8322,Vízgazdálkodási gép kezelője
8189,Máshová nem sorolható helyhez kötött berendezések és gépek kezelői,8324,"Sugármentesítő gép, berendezés kezelője"
8189,Máshová nem sorolható helyhez kötött berendezések és gépek kezelői,8326,"Mozigépész, vetítőgépész"
8189,Máshová nem sorolható helyhez kötött berendezések és gépek kezelői,8329,"Egyéb, máshova nem sorolható, helyhez kötött gép kezelője"
8211,Mechanikai gépek összeszerelői,8211,Mechanikaigép-összeszerelő
8212,Erős- és gyengeáramú berendezések összeszerelői,8212,Villamosberendezés-összeszerelő
8219,Máshová nem sorolható összeszerelők,8219,Egyéb termék-összeszerelő
8311,Mozdonyvezetők,8411,Mozdonyvezető
8311,Mozdonyvezetők,8414,Metróvezető
8312,"Vasúti fékezők, jelzőberendezés- és váltókezelők",8412,Vasútijármű-vezetéshez kapcsolódó foglalkozású
8321,Motorkerékpár-vezetők,8419,Egyéb járművezető és kapcsolódó foglalkozású
8322,"Személy- és tehergépkocsi-vezetők, taxisofőrök",8416,Személygépkocsi-vezető
8331,Autóbusz- és villamosvezetők,8413,Villamosvezető
8331,Autóbusz- és villamosvezetők,8415,Trolibuszvezető
8331,Autóbusz- és villamosvezetők,8418,Autóbuszvezető
8332,Kamion- és teherautósofőrök,8417,"Tehergépkocsi-vezető, kamionsofőr"
8332,Kamion- és teherautósofőrök,8423,"Köztisztasági, településtisztasági gép kezelője"
8341,Mezőgazdasági és erdészeti mobilgépek kezelői,8421,"Mezőgazdasági, erdőgazdasági, növényvédő gép kezelője"
8342,Földmozgató és hasonló gépek kezelői,8422,Földmunkagép és hasonló könnyű- és nehézgép kezelője
8343,"Daruk, emelők és hasonló gépek kezelői",8424,"Daru, felvonó és hasonló anyagmozgató gép kezelője"
8344,Emelőtargonca-kezelők,8425,Targoncavezető
8350,Hajók fedélzeti személyzete és hasonló foglalkozásúak,8430,"Hajószemélyzet, kormányos, matróz"
9111,Háztartási takarítók és kisegítők,9111,Háztartási takarító és kisegítő
9112,"Irodai, szállodai és egyéb intézményi takarítók és kisegítők",9112,Intézményi takarító és kisegítő
9121,Mosónők és vasalónők,9113,"Kézi mosó, vasaló"
9122,Járműtakarítók,9114,Járműtakarító
9123,Ablaktisztítók,9115,Ablaktisztító
9129,Egyéb takarító foglalkozásúak,9119,Egyéb takarító és kisegítő
9211,Képesítést nem igénylő növénytermesztési foglalkozásúak,9331,Egyszerű mezőgazdasági foglalkozású
9212,Képesítést nem igénylő állattenyésztési foglalkozásúak,9331,Egyszerű mezőgazdasági foglalkozású
9213,Képesítést nem igénylő mezőgazdasági foglalkozásúak,9331,Egyszerű mezőgazdasági foglalkozású
9214,Képesítést nem igénylő kertészeti foglalkozásúak,9331,Egyszerű mezőgazdasági foglalkozású
9215,Képesítést nem igénylő erdészeti foglalkozásúak,9332,"Egyszerű erdészeti, vadászati és halászati foglalkozású"
9216,Képesítést nem igénylő halászati és halgazdálkodási foglalkozásúak,9332,"Egyszerű erdészeti, vadászati és halászati foglalkozású"
9311,Bányászati és kőfejtő segédmunkások,9310,Egyszerű ipari foglalkozású
9312,Mélyépítő segédmunkások,9321,Kubikos
9313,Magasépítő segédmunkások,9329,Egyéb egyszerű építőipari foglalkozású
9321,Kézi csomagolók,9225,Kézi csomagoló
9329,Máshová nem sorolható képesítést nem igénylő ipari foglalkozásúak,9310,Egyszerű ipari foglalkozású
9331,Kézi és lábbal hajtott járművek vezetői,9221,Pedálos vagy kézi hajtású gépek vezetője
9332,Állati erővel vont járművek és gépek hajtói,9222,Állati erővel vont jármű hajtója
9333,Rakodómunkások,9223,Rakodómunkás
9334,Árufeltöltők,9224,"Pultfeltöltő, árufeltöltő"
9411,Gyorsételek készítői,9235,Gyorséttermi eladó
9412,Konyhai kisegítők,9236,Konyhai kisegítő
9510,Utcai és hasonló szolgáltatók,9238,Parkolóőr
9520,Utcai árusok (kivéve az élelmiszerárusokat),5115,"Piaci, utcai árus"
9611,Hulladékgyűjtők,9211,"Szemétgyűjtő, utcaseprő"
9612,Hulladékválogatók,9212,Hulladékosztályozó
9613,Utcaseprők és hasonló foglalkozásúak,9211,"Szemétgyűjtő, utcaseprő"
9621,"Kézbesítők, csomagkihordók és hordárok",9233,"Hivatalsegéd, kézbesítő"
9621,"Kézbesítők, csomagkihordók és hordárok",9234,"Hordár, csomagkihordó"
9622,Alkalmi munkások,,
9623,Mérőóra-leolvasók és árusító automaták pénzbegyűjtői,9232,Mérőóra-leolvasó és hasonló egyszerű foglalkozású
9624,Vízhordók és tűzifagyűjtők,,
9629,Máshová nem sorolható képesítést nem igénylő foglalkozásúaki,9237,Háztartási alkalmazott
9629,Máshová nem sorolható képesítést nem igénylő foglalkozásúaki,9239,"Egyéb, máshova nem sorolható egyszerű szolgáltatási és szállítási foglalkozású"
0110,Fegyveres erők tisztjei,0110,Fegyveres szervek felsőfokú képesítést igénylő foglalkozásai
0210,Fegyveres erők tiszthelyettesei,0210,Fegyveres szervek középfokú képesítést igénylő foglalkozásai
0310,Fegyveres erők egyéb rangú állománya,0310,Fegyveres szervek középfokú képesítést nem igénylő foglalkozásai
